"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Select your state and school from the drop-down menu below","How much education do you want to have completed by the time you are 30?","Algebra I:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","English:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","Science:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","Social Studies:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","Foreign Language:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","None of the above:Will you have taken any of the following courses for high school credit by the end of grade 8? This means that you are getting class credit for your high school diploma while you are still in middle school. (Mark all that apply)","My classes are exciting.:To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers give me assignments that really make me think hard. :To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers ask me questions about what we are learning.:To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers ask me to work with other students in small groups. :To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers ask me to participate in class discussions. :To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers ask me to reflect on why we are learning something. :To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","My teachers encourage me not to give up when something is hard. :To what extent do you agree or disagree with the following statements about all of your classes at this school?  ","Who does most of the talking in your classes?","I like school work best when it makes me think hard. :To what extent do you agree or disagree with the following statements about yourself:"," I like school work that I will learn from even if I make mistakes. :To what extent do you agree or disagree with the following statements about yourself:","When something is hard, it makes me want to work more on it, not less. :To what extent do you agree or disagree with the following statements about yourself:","I think that how well I do in school is based on how much effort I put in. :To what extent do you agree or disagree with the following statements about yourself:","I am motivated to do things at school, even when I don't want to. :To what extent do you agree or disagree with the following statements about yourself:","I work well with other students or teams. :To what extent do you agree or disagree with the following statements about yourself:","I am able to control my emotions like anger, sadness or frustration. :To what extent do you agree or disagree with the following statements about yourself:","My teachers link what I am learning to my interests.:Please respond to the following statements about your teachers/school.","My teachers care about me enough that they will not let me get by without doing the work. :Please respond to the following statements about your teachers/school.","My teachers show me what level of work I need to do to earn an A or a B on an assignment.:Please respond to the following statements about your teachers/school.","My teachers encourage me that I can work at high levels.:Please respond to the following statements about your teachers/school.","Adults at my school have high expectations of all of their students, not just some of them. :Please respond to the following statements about your teachers/school.","Adults at my school help me develop my long-term academic goals. :Please respond to the following statements about your teachers/school.","Adults at my school treat all students fairly. :Please respond to the following statements about your teachers/school.","There were certain classes that I wanted to take in middle school but was not allowed to take.:Please respond to the following statements about your teachers/school.","I understand how the activities we do relate to what we are supposed to be learning. :Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I learn skills that help me read texts (such as finding key words, summarizing, etc.).:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","We discuss the texts we read with other students in pairs or small groups.:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I learn reading and writing skills for each subject that help me read the texts for that class (such as learning how to read a science article in a science class).:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","My teachers encourage me to share my opinions about the texts we read.:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I learn how to edit my writing, like proofreading or correcting my spelling mistakes.:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","My teachers give me feedback on my writing.:Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I complete assignments that require me to use evidence to support what I write. :Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I complete assignments that require me to present my work out loud to the class. :Think about all of the classes where you do reading, writing, interpreting and communicating. How often do the following statements occur?","I learn from other students by discussing different ways to solve a math problem. :The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","My math teachers encourage me to understand math concepts instead of just memorizing rules and procedures. :The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","My math teachers have me apply math to situations in the real world. :The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","My math teachers encourage me to think about more than one way to solve a math problem before I choose my strategy. :The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","When we solve problems, my math teachers ask me to explain how I chose my method of solving the problem.:The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","I solve math problems that require using more than one math concept to solve.:The following questions ask about all of your MATH classes through middle school. How often do the following statements occur?","I approach problems using the scientific method (this is where you gather data, form a hypothesis, and test your hypothesis).:The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I use math skills to solve science problems.:The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I complete projects where I gathered data.:The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I conduct experiments on my own. :The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I prepare written reports of the results of a lab or experiment. :The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I discuss results of a lab or experiment with my class. :The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I use special equipment, software or technology in labs or experiments (such as Microsoft Excel or electrical equipment.). :The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I present lab or experiment results to the class. :The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I complete engineering activities that required me to design, test and revise my solutions. (Engineering is the process of creating and building structures, products, and systems by using math and science.):The following questions ask about all of your SCIENCE classes through middle school. How often does the following occur?","I apply themes from throughout history when I'm learning new information.:How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","I read and interpret primary and secondary sources. A primary source is from someone who witnessed a historical event firsthand, while a secondary source is  from someone who was not a witness and learned about the event through a primary source. :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","I discuss texts in small groups or with the whole class.:How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","I learn about the relationships between governments and people around the world. :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","I use materials such as maps, graphs, articles, photographs to learn information. :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","My teachers ask me to provide evidence to defend my position. :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","My teachers encourage students to consider different points of view. :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","My teachers encourage students to keep an open mind when learning about historical or current events.  :How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","My teachers help students understand how governments and economies vary by geographic location.:How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","My teachers help me understand how historical events and developments have shaped the world we live in today.:How often do the following things occur in your social studies classes? The following questions ask you about how often something happens in your classes. For example: Always - every class, many times per class; Often - Almost every class or every other class; Sometimes - once a week or less; Never - never happens. Think about what happens during a typical week in your classes. ","Came up with a plan for the courses you would take in high school.:During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Met with you and your parent/guardian every year.:During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about what you'd like to do after you graduate high school one day. :During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about your career goal. :During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about  what training or education you would need to achieve your career goal. :During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about the classes you should take in high school to achieve your career goal.:During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about what to expect in high school. :During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","Talked about policies or practices that might be different in high school. :During middle school, did you have a meeting with your teacher adviser or counselor where you:  (A teacher adviser or counselor is someone who helps you choose your classes and talks with you about your future goals.)","I heard guest speakers from different careers.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I heard guest speakers from different colleges.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I have spent time researching careers that are interesting to me.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I took a survey to see what types of careers I might be interested in.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I took a test  where I found out what career skills I am good at (such as writing, working with data or building robotics).:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I have spent time researching what education is needed for specific careers.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I went on a field trip to visit a local college or business.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I went to a college fair.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","I went to a career fair.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","None of the above.:Which of the following opportunities have you had that were organized by your current middle school? (Select all that apply)","Which race/ethnicity best describes you? ","What is your gender?","What is your best language?","How far in school did your mother go?","How far in school did your father go?","Direct to beginning of survey"
"489","Sep 28, 2021 7:27:13 am","Sep 28, 2021 7:39:20 am","Complete","","","","English","https://classroom.google.com/","1632828302_6152fb8e0bf000.30156992","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.200","-80.79280090332","39.27619934082","United States","West Union","WV","26456","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","Algebra I","English","Science","Social Studies","Foreign Language","","Disagree","Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","The teacher","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Always","Always","Always","Often","Always","Often","Always","Always","Always","Always","Always","Always","Always","Always","Often","Sometimes","Sometimes","Always","Always","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Often","Sometimes","Always","Always","Often","Always","Yes","No","Yes","No","Yes","Yes","No","No","I heard guest speakers from various careers.","I heard guest speakers from various colleges.","","","","","I went on field trips to visit local colleges.","","","","Decline to answer","Female","English","Earned a graduate degree (M.D., law degree, Ph.D., Ed.E, etc.).","Earned a graduate degree (M.D., law degree, Ph.D., Ed.E, etc.).",""
"490","Sep 28, 2021 7:27:11 am","Sep 28, 2021 7:37:53 am","Complete","","","","English","https://classroom.google.com/","1632828373_6152fbd5080b42.04894482","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","","","","","Foreign Language","","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","An equal mix of students and teacher","Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Often","Often","Often","Sometimes","Always","Sometimes","Always","Always","Often","Always","Never","Sometimes","Often","Sometimes","Sometimes","Never","Often","Often","Always","Always","Sometimes","Sometimes","Never","Often","Always","Never","Sometimes","Always","Always","Often","Often","Sometimes","Always","No","No","Yes","Yes","No","Yes","Yes","No","","","","","","","","","","None of the above.","White","Male","English","Some education after high school (this includes some college, including two-year colleges and trade or vocational programs)","Graduated high school or got a GED",""
"491","Sep 28, 2021 7:27:17 am","Sep 28, 2021 7:42:10 am","Complete","","","","English","https://classroom.google.com/","1632828323_6152fba35d1b38.59631519","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.196","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Graduate from high school or obtain a GED","","","","","","None of the above","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","The teacher","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree","Agree","Sometimes","Never","Always","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Often","Always","Always","Always","Sometimes","Often","Sometimes","Often","Never","Sometimes","Sometimes","Never","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Never","No","No","No","No","No","Yes","No","No","","I heard guest speakers from various colleges.","","","","","","","","","White","Male","English","Some education after high school (this includes some college, including two-year colleges and trade or vocational programs)","I don’t know",""
"492","Sep 28, 2021 7:27:19 am","Sep 28, 2021 7:38:22 am","Complete","","","","English","https://classroom.google.com/","1632828326_6152fba6c07651.70093643","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","","","","","","None of the above","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The teacher","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Often","Always","Always","Always","Always","Always","Always","Often","Always","Often","Always","Always","Always","Always","Always","Always","Often","Always","Often","Often","Always","Often","Often","Always","Always","Always","Often","Always","Always","Always","Always","Always","Always","Always","No","No","No","No","No","No","No","No","","","I have spent time researching careers that are interesting to me.","I took a survey to see what types of careers I might be interested in.","I took a test  where I found out what career skills I am good at (such as writing, working with data or building robotics).","I have spent time researching what education is needed for specific careers.","","","","","White","Male","English","I don’t know","I don't want to answer",""
"493","Sep 28, 2021 7:27:20 am","Sep 28, 2021 7:35:41 am","Complete","","","","English","https://classroom.google.com/","1632828307_6152fb93a950b2.86626842","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.196","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Earn a degree at a four-year college","","","","","Foreign Language","","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Students","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Often","Often","Always","Always","Often","Always","Always","Often","Sometimes","Always","Always","Always","Always","Often","Always","Often","Always","Often","Sometimes","Often","Never","Never","Never","Always","Often","Always","Often","Often","Sometimes","Sometimes","Often","Always","Sometimes","Always","Yes","Yes","Yes","Yes","No","Yes","Yes","No","","","I have spent time researching careers that are interesting to me.","","I took a test  where I found out what career skills I am good at (such as writing, working with data or building robotics).","I have spent time researching what education is needed for specific careers.","","","","","White","Male","English","I don’t know","I don’t know",""
"494","Sep 28, 2021 7:27:20 am","Sep 28, 2021 7:44:56 am","Complete","","","","English","https://classroom.google.com/","1632828360_6152fbc8574441.25561388","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","","","","","","None of the above","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","An equal mix of students and teacher","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Sometimes","Often","Often","Always","Often","Always","Often","Always","Often","Sometimes","Always","Often","Often","Always","Always","Always","Sometimes","Often","Often","Sometimes","Sometimes","Always","Sometimes","Often","Sometimes","Often","Often","Sometimes","Sometimes","Always","Often","Always","Sometimes","Always","No","No","No","No","No","No","Yes","Yes","","","","","","","","","","None of the above.","White","Female","English","Graduated high school or got a GED","Graduated high school or got a GED",""
"495","Sep 28, 2021 7:27:21 am","Sep 28, 2021 7:43:17 am","Complete","","","","English","https://classroom.google.com/","1632828417_6152fc0140a766.47159947","Mozilla/5.0 (X11; CrOS x86_64 13729.84.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.130 Safari/537.36","","168.216.130.196","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","Algebra I","","","","Foreign Language","","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","The teacher","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree","Sometimes","Sometimes","Often","Often","Often","Often","Often","Often","Often","Often","Often","Sometimes","Often","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Often","Sometimes","Always","Always","Often","Often","Often","Often","Often","Yes","No","Yes","Yes","Yes","Yes","Yes","No","","","","","","","","","","None of the above.","White","Male","English","Graduated from a four-year college","I don’t know",""
"496","Sep 28, 2021 7:27:22 am","Sep 28, 2021 7:37:45 am","Complete","","","","English","https://classroom.google.com/","1632828332_6152fbac78beb5.79206474","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","A graduate degree (Master’s degree, Doctoral degree or other professional degree, e.g. M.D. or law)","Algebra I","","","","","","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","An equal mix of students and teacher","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Often","Often","Always","Often","Always","Always","Always","Always","Often","Always","Often","Often","Always","Always","Always","Often","Always","Sometimes","Often","Often","Always","Always","Always","Often","Always","Often","Often","Sometimes","Often","Often","Always","Often","Always","No","No","No","No","No","No","No","No","I heard guest speakers from various careers.","","I have spent time researching careers that are interesting to me.","","","","I went on field trips to visit local colleges.","","","","White","Male","English","Graduated high school or got a GED","Some education after high school (this includes some college, including two-year colleges and trade or vocational programs)",""
"497","Sep 28, 2021 7:27:25 am","Sep 28, 2021 7:27:26 am","Partial","","","","English","https://classroom.google.com/c/MzcwNzM4MjkwMTE5","1632828325_6152fba521ede0.79026929","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.196","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"498","Sep 28, 2021 7:27:31 am","Sep 28, 2021 7:42:02 am","Complete","","","","English","https://classroom.google.com/","1632828328_6152fba80cd475.50501358","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Earn a two-year degree at a community college or technical school.","","","","","Foreign Language","","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","The teacher","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Always","Always","Often","Always","Always","Often","Often","Always","Always","Always","Often","Sometimes","Often","Often","Sometimes","Often","Always","Always","Often","Always","Often","Sometimes","Often","Sometimes","Often","Often","Often","Always","Always","Always","Always","Often","Sometimes","Always","No","No","No","No","No","No","Yes","No","","I heard guest speakers from various colleges.","","","","I have spent time researching what education is needed for specific careers.","I went on field trips to visit local colleges.","","","","White","Male","English and another language equally","Graduated from a four-year college","Some education after high school (this includes some college, including two-year colleges and trade or vocational programs)",""
"499","Sep 28, 2021 7:27:30 am","Sep 28, 2021 7:49:17 am","Complete","","","","English","https://classroom.google.com/","1632828345_6152fbb98242e3.05083602","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Earn a degree at a four-year college","","","","","","None of the above","Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","An equal mix of students and teacher","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Disagree","Often","Often","Always","Often","Sometimes","Always","Often","Always","Sometimes","Sometimes","Often","Often","Often","Sometimes","Often","Sometimes","Often","Often","Sometimes","Sometimes","Often","Often","Never","Often","Sometimes","Often","Always","Often","Always","Often","Often","Sometimes","Often","Always","No","No","Yes","Yes","Yes","Yes","No","No","","","I have spent time researching careers that are interesting to me.","I took a survey to see what types of careers I might be interested in.","I took a test  where I found out what career skills I am good at (such as writing, working with data or building robotics).","I have spent time researching what education is needed for specific careers.","","","","","White","Male","English","Graduated from a four-year college","Graduated high school or got a GED",""
"500","Sep 28, 2021 7:27:30 am","Sep 28, 2021 7:38:37 am","Complete","","","","English","https://classroom.google.com/","1632828326_6152fba6940702.22113777","Mozilla/5.0 (X11; CrOS x86_64 13729.84.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.130 Safari/537.36","","168.216.130.198","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Less than high school graduation","","","Science","","","","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","The teacher","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","Agree","Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Sometimes","Often","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Always","Often","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Sometimes","Often","Never","Often","Often","Sometimes","Always","Always","Often","Often","Yes","No","Yes","Yes","No","Yes","Yes","Yes","","","","","","","","I went to a college fair.","","","White","Female","English","Did not graduate high school","I don’t know",""
"501","Sep 28, 2021 7:27:31 am","Sep 28, 2021 7:39:57 am","Complete","","","","English","https://classroom.google.com/","1632828324_6152fba4aa2af4.09762375","Mozilla/5.0 (X11; CrOS x86_64 13421.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.199 Safari/537.36","","168.216.130.200","-80.79280090332","39.27619934082","United States","West Union","WV","26456","West Virginia - Brooke Middle School","Earn a degree at a four-year college","","","","","","None of the above","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","An equal mix of students and teacher","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Often","Always","Never","Often","Sometimes","Often","Sometimes","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Often","Always","Always","No","No","No","No","No","No","No","No","","","","","","I have spent time researching what education is needed for specific careers.","","","","","White","Male","English","I don’t know","I don’t know",""
"502","Sep 28, 2021 7:27:34 am","Sep 28, 2021 7:41:32 am","Complete","","","","English","https://classroom.google.com/","1632828316_6152fb9c213b84.62667746","Mozilla/5.0 (X11; CrOS x86_64 13729.84.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.130 Safari/537.36","","168.216.130.197","-80.549301147461","40.348400115967","United States","Colliers","WV","26035","West Virginia - Brooke Middle School","Earn a degree at a four-year college","","English","Science","Social Studies","","","Strongly Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Disagree","Disagree","The teacher","Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Often","Often","Often","Often","Sometimes","Always","Always","Often","Sometimes","Often","Always","Always","Always","Often","Often","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Often","No","No","No","No","No","No","No","No","","","","","","","","","","None of the above.","White","Female","English","Graduated from a four-year college","Graduated from a four-year college",""
